id	color
16087	#8dd3c7
17001	#ffffb3
17003	#d9d9d9
17005	#ffffb3
17007	#ffffb3
17009	#ffffb3
17011	#ffffb3
17013	#ffffb3
17015	#ffffb3
17017	#ffffb3
17019	#ffffb3
17021	#ffffb3
17023	#ffffb3
17025	#ffffb3
17027	#fdb462
17029	#ffffb3
17031	#bc80bd
17033	#ffffb3
17035	#ffffb3
17037	#ffffb3
17039	#ffffb3
17041	#ffffb3
17043	#d9d9d9
17045	#ffffb3
17047	#ffffb3
17049	#ffffb3
17051	#ffffb3
17053	#ffffb3
17055	#ffffb3
17057	#ffffb3
17059	#ffffb3
17061	#ffffb3
17063	#ffffb3
17065	#ffffb3
17067	#ffffb3
17069	#ffffb3
17071	#ffffb3
17073	#ffffb3
17075	#ffffb3
17077	#d9d9d9
17079	#ffffb3
17081	#ffffb3
17083	#ffffb3
17085	#ffffb3
17087	#d9d9d9
17089	#ffffb3
17091	#ffffb3
17093	#ffffb3
17095	#ffffb3
17097	#ffffb3
17099	#ffffb3
17101	#ffffb3
17103	#ffffb3
17105	#ffffb3
17107	#ffffb3
17109	#ffffb3
17111	#ffffb3
17113	#ffffb3
17115	#ffffb3
17117	#ffffb3
17119	#ffffb3
17121	#ffffb3
17123	#ffffb3
17125	#ffffb3
17127	#ffffb3
17129	#ffffb3
17131	#ffffb3
17133	#ffffb3
17135	#ffffb3
17137	#ffffb3
17139	#ffffb3
17141	#ffffb3
17143	#ffffb3
17145	#d9d9d9
17147	#ffffb3
17149	#ffffb3
17151	#ffffb3
17153	#ffffb3
17155	#ffffb3
17157	#d9d9d9
17159	#ffffb3
17161	#ffffb3
17163	#ffffb3
17165	#ffffb3
17167	#ffffb3
17169	#ffffb3
17171	#ffffb3
17173	#ffffb3
17175	#ffffb3
17177	#ffffb3
17179	#ffffb3
17181	#ffffb3
17183	#ffffb3
17185	#ffffb3
17187	#ffffb3
17189	#ffffb3
17191	#ffffb3
17193	#ffffb3
17195	#ffffb3
17197	#ffffb3
17199	#ffffb3
17201	#ffffb3
17203	#ffffb3
18001	#80b1d3
18003	#ffffb3
18005	#ffffb3
18007	#ffffb3
18009	#d9d9d9
18011	#ffffb3
18013	#8dd3c7
18015	#80b1d3
18017	#ffffb3
18019	#ffffb3
18021	#ffffb3
18023	#ffffb3
18025	#ffffb3
18027	#fccde5
18029	#ffffb3
18031	#80b1d3
18033	#ffffb3
18035	#ffffb3
18037	#fccde5
18039	#fdb462
18041	#ffffb3
18043	#ffffb3
18045	#ffffb3
18047	#ffffb3
18049	#ffffb3
18051	#ffffb3
